evaluation_date,top10_average_predicted_return,top10_average_actual_return,top10_median_actual_return,top10_best_stock,top10_best_stock_return,top10_worst_stock,top10_worst_stock_return
2026-05-28,0.007646403964166252,-0.0017555958219072384,-0.00546659531552305,347850 디앤디파마텍,0.0880566801619433,403870 HPSP,-0.0778985507246377
2026-05-29,0.019395407048086732,0.06385768861496922,0.06157196823683605,011070 LG이노텍,0.2857142857142858,048410 현대바이오,-0.1201520912547529
2026-06-01,0.00956183310146709,0.02874147256639064,0.0117486388633026,066570 LG전자,0.2986348122866893,018880 한온시스템,-0.0728241563055062
2026-06-02,0.020622511207557967,-0.012157646439721337,-0.0019488467353966999,402340 SK스퀘어,0.071656050955414,018260 삼성에스디에스,-0.1698895027624309
2026-06-04,0.00696920094174618,-0.03730347082214315,-0.0330258538513403,036540 SFA반도체,0.0381578947368421,017670 SK텔레콤,-0.1301916932907348
2026-06-05,-0.0094913954382643,-0.05693120224054403,-0.06111527894152255,003030 세아제강지주,0.0070175438596491,028260 삼성물산,-0.1392523364485981
2026-06-08,-0.01332021646620247,-0.08793759398189242,-0.09015708510811471,080220 제주반도체,0.0213903743315508,226950 올릭스,-0.1774193548387096
2026-06-09,0.017090570674480367,0.010960939552702909,0.01917808219178085,009150 삼성전기,0.1838942307692308,307950 현대오토에버,-0.0864361702127659
2026-06-10,-0.00790758913443948,-0.037295382056693985,-0.0309680511497831,010060 OCI홀딩스,0.029296875,066570 LG전자,-0.0967741935483871
2026-06-11,-0.00513049964061494,0.003094057274716179,-0.0040760869565217,007390 네이처셀,0.0454545454545454,323410 카카오뱅크,-0.0545454545454545
2026-06-12,0.016726130701029567,0.00432967389847674,0.00395675314070965,090360 로보스타,0.0649106302916275,290650 엘앤씨바이오,-0.0888625592417061
2026-06-16,0.01734521698401972,0.04126271154275114,0.0496154800297693,034020 두산에너빌리티,0.1095596133190117,445680 큐리옥스바이오시스템즈,-0.1001451378809868
2026-06-17,0.0081637111124542,-0.0007853323140305096,-0.00232397151898735,080220 제주반도체,0.1017786561264821,093370 후성,-0.0843749999999999
