evaluation_date,train_start_date,train_end_date,rolling_train_days,prediction_rows,ranking_rmse,ranking_ic,gap_rmse,gap_direction_accuracy,intraday_rmse,intraday_direction_accuracy,top10_average_predicted_return,top10_average_actual_return,top10_hit_rate,portfolio_daily_return,portfolio_cumulative_return,benchmark_return,benchmark_cumulative_return,best_stock,best_stock_return,worst_stock,worst_stock_return,model_version,feature_count,train_rows
2026-04-01,2025-03-20,2026-03-30,250,348,0.09693034105127545,0.054288363579985836,0.04144477400060624,0.985632183908046,0.03540406153884791,0.7068965517241379,0.027364519524014964,0.10254314139277391,0.2,0.1025431413927739,0.3738042966779169,0.0535894581318006,0.0437256274547297,218410 RFHIC,0.256,194480 데브시스터즈,-0.0198915009041591,production_config_model_version,55,86823
2026-04-02,2025-03-21,2026-03-31,250,348,0.06492809321106023,0.027838379765751903,0.02009624263088787,0.7212643678160919,0.07129571472368375,0.04597701149425287,0.02893072036462474,-0.05628610420591509,0.1,-0.0562861042059151,0.2964782048765697,-0.0384497950990085,0.0035945909395111,050890 쏠리드,0.0343170899107756,047040 대우건설,-0.1538857436953165,production_config_model_version,55,86825
2026-04-03,2025-03-24,2026-04-01,250,348,0.03694646836511823,0.15683671094191665,0.02132243472115808,0.9568965517241379,0.03484864676460324,0.25,0.024855864918086876,0.02507694702390566,0.0,0.0250769470239056,0.3289899201379076,0.0144927834932046,0.0181394700609489,050890 쏠리드,0.081619110816191,263750 펄어비스,-0.0453172205438066,production_config_model_version,55,86827
2026-04-06,2025-03-25,2026-04-02,250,348,0.06940036863888445,-0.13387280497740173,0.05031732059842591,0.5488505747126436,0.02687691573045434,0.39655172413793105,0.0673835763219236,-0.02009785133006204,0.1,-0.020097851330062,0.3022800783038248,0.0066788259220521,0.0249394463458563,348370 엔켐,0.0744985673352436,417200 LS머트리얼즈,-0.062200956937799,production_config_model_version,55,86829
2026-04-07,2025-03-26,2026-04-03,250,348,0.028531796490967508,-0.09605049546237766,0.022528614162226426,0.35919540229885055,0.03226125877577548,0.2988505747126437,0.01228858030890613,-0.01617620061252427,0.1,-0.0161762006125242,0.2812141345034882,-0.0062826088410787,0.0185001527186736,066970 엘앤에프,0.0844079718640093,050890 쏠리드,-0.078005115089514,production_config_model_version,55,86831
2026-04-08,2025-03-27,2026-04-06,250,348,0.0735347958618279,-0.17792359591513784,0.05216618832724165,0.9626436781609196,0.03484699555876081,0.4827586206896552,0.005625312853406731,0.06580319775882505,0.2,0.065803197758825,0.3655221215676232,0.0482492360200025,0.0676420069736054,047040 대우건설,0.2997118155619596,097950 CJ제일제당,-0.0418410041841004,production_config_model_version,55,86833
2026-04-09,2025-03-28,2026-04-07,250,348,0.03503674344499577,-0.11234615007587388,0.02118096267295372,0.3649425287356322,0.03483636363886298,0.4109195402298851,0.012737423373120157,-0.00032645541049331,0.0,-0.0003264554104933,0.3650763394828891,0.0035149702688166,0.0713947368858574,082920 비츠로셀,0.0694980694980695,050890 쏠리드,-0.0582781456953642,production_config_model_version,55,86835
2026-04-10,2025-03-31,2026-04-08,250,348,0.03999983765458507,0.02588607802235607,0.01382831283874738,0.8017241379310345,0.0392065624630183,0.46839080459770116,-0.003884239828393939,0.019069283438859726,0.0,0.0190692834388597,0.3911073671161693,0.0115348387876435,0.0837531024537654,034220 LG디스플레이,0.0728813559322034,017670 SK텔레콤,-0.0085287846481876,production_config_model_version,55,86837
2026-04-13,2025-04-01,2026-04-09,250,348,0.03484103265158032,-0.15897396146023998,0.028500108007388256,0.10057471264367816,0.03136035306193933,0.6149425287356322,0.01793171172635405,-0.009443631617591462,0.0,-0.0094436316175914,0.3779702616006066,-0.0067848325538053,0.0764000191239495,028670 팬오션,0.0130597014925373,082920 비츠로셀,-0.0353591160220994,production_config_model_version,55,86839
2026-04-14,2025-04-02,2026-04-10,250,348,0.03791052606981625,-0.0650900669572539,0.020539070516289122,0.8735632183908046,0.030421476577203416,0.5028735632183908,0.006607768820782079,-0.0027195530598425905,0.0,-0.0027195530598425,0.3742227983592985,0.0154138646126026,0.0929915032877288,000150 두산,0.0587326120556415,066970 엘앤에프,-0.0456796917996698,production_config_model_version,55,86841
