evaluation_date,daily_return,kospi_benchmark_return,universe_equal_weight_return,top10_count,prediction_count,train_start_date,train_end_date,train_rows,unique_train_dates,cumulative_return,kospi_benchmark_cumulative_return,universe_cumulative_return
2026-05-27,-0.027500679799148397,-0.021310306190455684,-0.02841403276905998,10,348,2025-05-15,2026-05-22,86909,250,0.744904679191343,0.15671643368475197,0.09908334411503983
2026-05-28,-0.001755595821907241,-0.013446304942146436,-0.01682976164178802,10,348,2025-05-16,2026-05-26,86911,250,0.7418413318269284,0.14116287178583464,0.0805860334091244
2026-05-29,0.06385768861496924,0.010462360920888081,-0.0029788040650570616,10,348,2025-05-19,2026-05-27,86913,250,0.8530712932114157,0.15310212961997505,0.07736717934016157
2026-06-01,0.028741472566390668,0.002921934223283089,-0.004027419177170758,10,348,2025-05-20,2026-05-28,86915,250,0.9063312909488175,0.1564714181954523,0.07302817010123275
2026-06-02,-0.012157646439721347,-0.015531744025422428,-0.015992550185429562,10,348,2025-05-21,2026-05-29,86917,250,0.8831547891164842,0.13850940015532331,0.05586771324050921
2026-06-04,-0.03730347082214317,0.0035557029644876646,0.014203453389871364,10,348,2025-05-22,2026-06-01,86919,250,0.8129065793870982,0.14255760140455265,0.07086468109139088
2026-06-05,-0.056931202240544064,-0.02177384515571917,-0.03149415340276537,10,348,2025-05-23,2026-06-02,86920,250,0.7096956282727984,0.11767972911008018,0.03713870455149526
2026-06-08,-0.08793759398189244,-0.06426307032254702,-0.07261846847055221,10,348,2025-05-26,2026-06-04,86921,250,0.5593491082811284,0.04585419808019364,-0.038176719764566824
2026-06-09,0.010960939552702909,0.035881018817924014,0.04599280464702356,10,348,2025-05-27,2026-06-05,86922,250,0.5764410395985589,0.08338051224231391,0.006060230468260874
2026-06-10,-0.037295382056694006,-0.0038288017770733143,-0.0081088367907075,10,348,2025-05-28,2026-06-08,86923,250,0.5176470687368786,0.07923246301179399,-0.002097747742227818
2026-06-11,0.0030940572747161664,0.01401683526643502,0.030818364319523842,10,348,2025-05-29,2026-06-09,86924,250,0.5223427556903557,0.09435988666001904,0.028655967423125706
2026-06-12,0.004329673898476749,0.03216374278772181,0.03209655939743826,10,348,2025-05-30,2026-06-10,86925,250,0.5289340033842036,0.12955859657175228,0.061672284781051356
2026-06-16,0.04126271154275117,0.04701399778837556,0.02091267716519413,10,348,2025-06-02,2026-06-11,86926,250,0.5920219661337496,0.18266366193281747,0.08387469452791163
2026-06-17,-0.0007853323140305068,-0.011588783973802788,-0.0013219450032383297,10,348,2025-06-04,2026-06-12,86927,250,0.5907716998390984,0.16895802824101147,0.08244187179134399
