evaluation_date,train_start_date,train_end_date,rolling_train_days,prediction_rows,ranking_rmse,ranking_ic,gap_rmse,gap_direction_accuracy,intraday_rmse,intraday_direction_accuracy,top10_average_predicted_return,top10_average_actual_return,top10_hit_rate,portfolio_daily_return,portfolio_cumulative_return,benchmark_return,benchmark_cumulative_return,best_stock,best_stock_return,worst_stock,worst_stock_return,feature_count,train_rows
2026-03-17,2025-07-30,2026-03-13,150,348,0.05436482046850717,-0.07819398923717505,0.03633726773355169,0.07183908045977011,0.030588883444585536,0.5402298850574713,-0.014464814197279971,-0.005680050155334119,0.0,-0.0056800501553341,0.1185819986300571,0.0203723116843592,0.032202276965523,417200 LS머트리얼즈,0.0208816705336427,043260 성호전자,-0.0961538461538461,55,52168
2026-03-18,2025-07-31,2026-03-16,150,348,0.03767825891980647,0.23408039169864284,0.038610919530781995,0.011494252873563218,0.038048303500745076,0.5775862068965517,0.029551211911950148,0.07267635246696362,0.2,0.0726763524669636,0.1998764582256957,0.0311192245074384,0.0643236113595022,047040 대우건설,0.2279108175061932,189300 인텔리안테크,-0.0139318885448916,55,52169
2026-03-19,2025-08-01,2026-03-17,150,348,0.03744196039521655,0.11234782026837406,0.031586707217285556,0.8017241379310345,0.027900143801373022,0.40229885057471265,0.02494590270725258,0.00485180572062237,0.2,0.0048518057206223,0.2056980256897553,-0.0176834529947527,0.0455026948068209,047040 대우건설,0.0874243443174176,088350 한화생명,-0.0609523809523809,55,52170
2026-03-20,2025-08-04,2026-03-18,150,348,0.04465921979918405,0.021595838009176783,0.017006578597305984,0.8074712643678161,0.036217313162101146,0.6005747126436781,0.02131350894141351,0.03298104545275811,0.2,0.032981045452758,0.2454632070773299,0.0226427037491659,0.0691757025942862,047040 대우건설,0.1818181818181818,445680 큐리옥스바이오시스템즈,-0.075930144267274,55,52171
2026-03-23,2025-08-05,2026-03-19,150,348,0.08241776378328995,-0.2664465727435621,0.03388608437980199,0.896551724137931,0.04587355687957007,0.12643678160919541,0.027548705875245976,-0.04959771457670324,0.2,-0.0495977145767032,0.183691078416923,-0.0568397935758874,0.0084039763624725,000250 삼천당제약,0.0374862183020947,047040 대우건설,-0.1072736787022501,55,52172
2026-03-24,2025-08-06,2026-03-20,150,348,0.05357770957159949,0.15514524449975967,0.03336989840531682,0.9885057471264368,0.03349099318995294,0.6695402298850575,0.00810890614371016,-0.013265886286678127,0.0,-0.013265886286678,0.1679883671720887,0.0224265066191057,0.0310189548130979,268280 미원에스씨,0.0571428571428571,348370 엔켐,-0.2994152046783626,55,52173
2026-03-25,2025-08-07,2026-03-23,150,348,0.04650695684331764,0.12879243786899103,0.022174399249776575,0.9022988505747126,0.03925835377455968,0.4885057471264368,0.029598277720513634,0.046282375057755884,0.2,0.0462823750577559,0.2220456428446433,0.0231127356276891,0.0548486233428295,050890 쏠리드,0.1944444444444444,036930 주성엔지니어링,-0.0490956072351421,55,52174
2026-03-26,2025-08-08,2026-03-24,150,348,0.038047775405146804,0.14796382123036927,0.026749841935653253,0.3936781609195402,0.03361035707120608,0.8390804597701149,-0.01718526237086076,-0.020019257203961305,0.1,-0.0200192572039613,0.197581196805556,-0.0147472100631069,0.0392925491096136,348370 엔켐,0.1568123393316196,032500 케이엠더블유,-0.1204819277108434,55,52175
2026-03-27,2025-08-11,2026-03-25,150,348,0.03360475947850983,-0.3090647202812228,0.02967767046433936,0.10057471264367816,0.0389608155400207,0.7959770114942529,0.025595451240983447,0.0319639920413427,0.3,0.0319639920413427,0.2358606726491106,0.0036313447716797,0.0430665786740687,100790 미래에셋벤처투자,0.1522123893805309,295310 에이치브이엠,-0.0666666666666666,55,52176
2026-03-30,2025-08-12,2026-03-26,150,348,0.03608515777030638,0.0930336719688425,0.054567136217127256,0.02586206896551724,0.03789560558767603,0.33620689655172414,0.003712201786027239,-0.04531904156012114,0.0,-0.0453190415601211,0.1798526514628062,-0.0264632591556354,0.0154636374860348,009830 한화솔루션,0.0266460477011836,043260 성호전자,-0.0835140997830802,55,52177
