date,ticker,open,high,low,close,volume,trading_value
2026-06-17,183300,107000,112000,105500,106900,258483,27631832700
2026-06-17,185750,73900,74800,72200,73000,29284,2137732000
2026-06-17,189300,99400,103900,97100,101100,126277,12766604700
2026-06-17,192080,68400,70900,67800,68900,65688,4525903200
2026-06-17,192820,169800,174000,166000,168900,58113,9815285700
2026-06-17,194480,15540,16590,15300,16380,83412,1366288560
2026-06-17,195940,42700,44050,41850,43250,212257,9180115250
2026-06-17,196170,365000,378000,348500,373000,666473,248594429000
2026-06-17,204270,17110,17560,16780,17220,106294,1830382680
2026-06-17,204320,74400,79100,71100,73900,1966188,145301293200
2026-06-17,207940,1340000,1380500,1315000,1370000,60218,82498660000
2026-06-17,211050,10340,10450,10010,10110,179598,1815735780
2026-06-17,213420,37400,38700,36950,38000,152410,5791580000
2026-06-17,214150,44800,47500,44300,46250,174277,8060311250
2026-06-17,214370,76300,80600,73400,78900,78256,6174398400
2026-06-17,214430,73600,76500,70300,74200,38650,2867830000
2026-06-17,214450,295500,306500,290000,302000,44176,13341152000
2026-06-17,215200,41950,41950,39200,39350,56997,2242831950
2026-06-17,218410,82000,82200,77500,78000,281435,21951930000
2026-06-17,222080,10900,11040,10670,10830,580175,6283295250
2026-06-17,222800,125800,130800,123500,129900,539041,70021425900
2026-06-17,225570,9790,9810,9540,9630,130580,1257485400
2026-06-17,226950,132300,154000,125500,142000,516398,73328516000
2026-06-17,232140,15250,15940,15100,15600,825122,12871903200
2026-06-17,237690,126000,138600,122000,133000,250663,33338179000
2026-06-17,240810,159200,179900,156000,161700,2512131,406211582700
2026-06-17,241560,69800,70100,65800,66000,240201,15853266000
2026-06-17,241710,68900,72700,68300,70100,123069,8627136900
2026-06-17,247540,182600,183100,177000,180000,361009,64981620000
2026-06-17,251270,41850,42400,40550,41650,213665,8899147250
2026-06-17,251970,36050,38850,35800,37350,36670,1369624500
2026-06-17,253450,25150,25350,24000,25050,50298,1259964900
